{'time_stamp': 1592104065.344872, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fe7cf87c428c8000'}
{'time_stamp': 1592104065.353178, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '9aed7c93fe7ccc0a'}
{'time_stamp': 1592104065.345437, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7c1f7d0a7d000a'}
{'time_stamp': 1592104065.3543, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.353733, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b87cfa7cce7c000a'}
{'time_stamp': 1592104065.354876, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fd7cf87c428c8000'}
{'time_stamp': 1592104065.363221, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '80ed7c9bfe7ccc0a'}
{'time_stamp': 1592104065.355442, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f57c1a7d067d000a'}
{'time_stamp': 1592104065.364344, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.363777, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b77cfa7cdf7c000a'}
{'time_stamp': 1592104065.364924, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fd7cf87c428c8000'}
{'time_stamp': 1592104065.373201, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '75ed7c9afe7ccc0a'}
{'time_stamp': 1592104065.365492, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97c107d027d000a'}
{'time_stamp': 1592104065.374321, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.373757, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b77cfa7cf17c000a'}
{'time_stamp': 1592104065.374893, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fd7cf97c428c8000'}
{'time_stamp': 1592104065.383225, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '72ed7c91fe7ccc0a'}
{'time_stamp': 1592104065.375456, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c0e7d087d000a'}
{'time_stamp': 1592104065.384356, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'ff7cfe7cd0808000'}
{'time_stamp': 1592104065.383778, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'b77cfa7cfe7c000a'}
{'time_stamp': 1592104065.384931, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'fd7cfa7c428c8000'}
{'time_stamp': 1592104065.393211, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '7aed7c7cfe7ccc0a'}
{'time_stamp': 1592104065.385481, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d097d0d7d000a'}
