{'time_stamp': 1589271816.418406, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cf97cfe7c4009'}
{'time_stamp': 1589271816.416114, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3279bf00'}
{'time_stamp': 1589271816.424377, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '2c307dfb107dcc09'}
{'time_stamp': 1589271816.425502, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cfb7cfa7c4009'}
{'time_stamp': 1589271816.424931, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3279bf00'}
{'time_stamp': 1589271816.434347, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '27307dfe107dcc09'}
{'time_stamp': 1589271816.435458, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '017dff7cfc7c4009'}
{'time_stamp': 1589271816.434892, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3279bf00'}
{'time_stamp': 1589271816.444361, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '2e307d03117dcc09'}
{'time_stamp': 1589271816.445479, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '027d037dfc7c4009'}
{'time_stamp': 1589271816.44492, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfc7c3279bf00'}
{'time_stamp': 1589271816.454377, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '3b307dff107dcc07'}
{'time_stamp': 1589271816.455494, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c057dff7c4007'}
{'time_stamp': 1589271816.454931, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfc7c3179bf00'}
{'time_stamp': 1589271816.464384, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '4e307dfe107dcc07'}
{'time_stamp': 1589271816.465509, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '017d077dfd7c4007'}
{'time_stamp': 1589271816.464929, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfc7c3179bf00'}
{'time_stamp': 1589271816.474361, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '5e307d0a117dcc07'}
{'time_stamp': 1589271816.47547, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '057d057df97c4007'}
{'time_stamp': 1589271816.474906, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfc7c3179bf00'}
{'time_stamp': 1589271816.484368, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '6b307d1d117dcc08'}
{'time_stamp': 1589271816.485481, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '077d047dfb7c4008'}
{'time_stamp': 1589271816.484915, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfc7c3179bf00'}
{'time_stamp': 1589271816.494373, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '78307d2c117dcc08'}
{'time_stamp': 1589271816.495494, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '047d047dfd7c4008'}
{'time_stamp': 1589271816.494928, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfc7c3179bf00'}
{'time_stamp': 1589271816.504369, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '75307d2b117dcc08'}
{'time_stamp': 1589271816.505501, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cfc7cfe7c4008'}
{'time_stamp': 1589271816.504917, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfc7c3179bf00'}
