{'time_stamp': 1595834833.406308, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '48e8bb409f5cf27e'}
{'time_stamp': 1595834831.163941, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.824005, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '007d097dfc7c4002'}
{'time_stamp': 1595834813.823453, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.417455, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '12e8cb425ffdf980'}
{'time_stamp': 1595834833.416331, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '45e8f3401f5bf27e'}
{'time_stamp': 1595834831.173973, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.834045, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d067dff7c4002'}
{'time_stamp': 1595834813.833498, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.42726, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f4e7cb429ffef980'}
{'time_stamp': 1595834833.426133, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '45e8e3401f57f27e'}
{'time_stamp': 1595834831.184048, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.844001, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d027dff7c4002'}
{'time_stamp': 1595834813.843443, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.437454, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f3e78b419f01fa80'}
{'time_stamp': 1595834833.436326, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '47e8ab405f54f27e'}
