{'time_stamp': 1594364646.166835, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c8287d51e87ccc08'}
{'time_stamp': 1594364646.16909, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e27cfd7c0a7d4008'}
{'time_stamp': 1594364646.167959, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d037d2d798000'}
{'time_stamp': 1594364646.17739, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7da27cfd7c0008'}
{'time_stamp': 1594364646.178517, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '137d0d7db56d8000'}
{'time_stamp': 1594364646.176867, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c5287d05e87ccc08'}
{'time_stamp': 1594364646.17908, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'e27cff7c0a7d4008'}
{'time_stamp': 1594364646.17795, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047d037d2d798000'}
{'time_stamp': 1594364646.187391, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '9f7da17cfc7c0008'}
{'time_stamp': 1594364646.188517, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '137d0d7db46d8000'}
{'time_stamp': 1594364646.186826, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c3287dc7e77ccc08'}
