{'time_stamp': 1594170237.79282, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f57c027dfc7c4008'}
{'time_stamp': 1594170237.792265, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170249.397109, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.901134, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a47dc87c2b7d0007'}
{'time_stamp': 1594170260.902253, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '147d087db26d8000'}
{'time_stamp': 1594170237.802226, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '702b7d37f57ccc09'}
{'time_stamp': 1594170237.803342, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c027dfd7c4009'}
{'time_stamp': 1594170237.802783, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170250.340366, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.911117, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a47dc77c067d0007'}
{'time_stamp': 1594170260.912245, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '147d087db26d8000'}
{'time_stamp': 1594170237.812982, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '732b7d2ef57ccc07'}
{'time_stamp': 1594170237.814101, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7c037dff7c4007'}
{'time_stamp': 1594170237.813532, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170251.340362, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.921123, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a47dc77cfe7c0007'}
{'time_stamp': 1594170260.922253, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '157d087db36d8000'}
{'time_stamp': 1594170237.821703, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '852b7d15f57ccc07'}
{'time_stamp': 1594170237.822819, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f57c087d087d4007'}
{'time_stamp': 1594170237.822256, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057d017d2d798000'}
{'time_stamp': 1594170252.340383, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.931659, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a47dc77cfe7c0008'}
{'time_stamp': 1594170260.932783, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '157d097db36d8000'}
{'time_stamp': 1594170237.831704, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '9e2b7dfaf47ccc07'}
{'time_stamp': 1594170237.832818, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f67c087d077d4007'}
{'time_stamp': 1594170237.832259, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170253.340401, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1594170260.941134, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'a47dc77ceb7c0007'}
{'time_stamp': 1594170260.942263, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '157d097db36d8000'}
{'time_stamp': 1594170237.842235, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'aa2b7de6f47ccc08'}
{'time_stamp': 1594170237.843352, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f87c037d017d4008'}
{'time_stamp': 1594170237.842785, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '067d017d2d798000'}
{'time_stamp': 1594170254.340436, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
